"AREA";"PERIMETER";"PR_";"PR_ID";"RINGS_OK";"RINGS_NOK";"WRSPR";"PR";"PATH";"ROW";"MODE";"DAYCLASS";"SEQUENCE";"ctry_id";"ctry_name";"ctry_abbr"
3.28943;7.37898;281;281;1;0;29033;29033;29;33;"D";1;2513;239;"United States of America";"US"
3.22689;7.29463;282;282;1;0;29034;29034;29;34;"D";1;2514;239;"United States of America";"US"
3.1691;7.21707;283;283;1;0;29035;29035;29;35;"D";1;2515;239;"United States of America";"US"
3.11456;7.14388;284;284;1;0;29036;29036;29;36;"D";1;2516;239;"United States of America";"US"
3.06431;7.07666;285;285;1;0;29037;29037;29;37;"D";1;2517;239;"United States of America";"US"
3.01764;7.01432;286;286;1;0;29038;29038;29;38;"D";1;2518;239;"United States of America";"US"
2.97366;6.95568;287;287;1;0;29039;29039;29;39;"D";1;2519;147;"United Mexican States";"ME"
2.97366;6.95568;287;287;1;0;29039;29039;29;39;"D";1;2519;239;"United States of America";"US"
2.93301;6.90152;288;288;1;0;29040;29040;29;40;"D";1;2520;147;"United Mexican States";"ME"
2.93301;6.90152;288;288;1;0;29040;29040;29;40;"D";1;2520;239;"United States of America";"US"
2.89444;6.85026;289;289;1;0;29041;29041;29;41;"D";1;2521;147;"United Mexican States";"ME"
2.85906;6.80336;290;290;1;0;29042;29042;29;42;"D";1;2522;147;"United Mexican States";"ME"
2.82771;6.76179;291;291;1;0;29043;29043;29;43;"D";1;2523;147;"United Mexican States";"ME"
2.79629;6.72018;292;292;1;0;29044;29044;29;44;"D";1;2524;147;"United Mexican States";"ME"
2.7696;6.68491;293;293;1;0;29045;29045;29;45;"D";1;2525;147;"United Mexican States";"ME"
2.74381;6.65087;294;294;1;0;29046;29046;29;46;"D";1;2526;147;"United Mexican States";"ME"
2.72016;6.61957;295;295;1;0;29047;29047;29;47;"D";1;2527;147;"United Mexican States";"ME"
9.58461;17.57656;361;361;1;0;29113;29113;29;113;"D";1;2593;12;"Antarctica";"AT"
10.37279;19.02258;362;362;1;0;29114;29114;29;114;"D";1;2594;12;"Antarctica";"AT"
11.26545;20.64343;363;363;1;0;29115;29115;29;115;"D";1;2595;12;"Antarctica";"AT"
12.26725;22.40324;364;364;1;0;29116;29116;29;116;"D";1;2596;12;"Antarctica";"AT"
